 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,588,1436,588,1436,1,1
2,0,255,255,255,2292,1366,2292,1366,1,1
3,0,255,255,255,2488,1347,2488,1347,1,1
4,0,255,255,255,652,1343,652,1343,1,1
5,0,255,255,255,2420,1328,2420,1328,1,1
6,0,255,255,255,2236,1302,2236,1302,1,1
7,0,255,255,255,2213,1300,2213,1300,1,1
8,0,255,255,255,865,1297,865,1297,1,1
9,0,255,255,255,2726,1288,2726,1288,1,1
10,0,255,255,255,2326,1286,2326,1286,1,1
11,0,255,255,255,2392,1264,2392,1264,1,1
12,0,255,255,255,2392,1223,2392,1223,1,1
13,0,255,255,255,2595,1220,2595,1220,1,1
14,0,255,255,255,763,1203,763,1203,1,1
15,0,255,255,255,2165,1202,2165,1202,1,1
16,0,255,255,255,2157,1172,2157,1172,1,1
17,0,255,255,255,2119,1170,2119,1170,1,1
18,0,255,255,255,2263,1162,2263,1162,1,1
19,0,255,255,255,2113,1160,2113,1160,1,1
20,0,255,255,255,2073,1148,2073,1148,1,1
21,0,255,255,255,2150,1146,2150,1146,1,1
22,0,255,255,255,690,1145,690,1145,1,1
23,0,255,255,255,2462,1137,2462,1137,1,1
24,0,255,255,255,2160,1133,2160,1133,1,1
25,0,255,255,255,2101,1126,2101,1126,1,1
26,0,255,255,255,2138,1101,2138,1101,1,1
27,0,255,255,255,744,1095,744,1095,1,1
28,0,255,255,255,826,1078,826,1078,1,1
29,0,255,255,255,765,1071,765,1071,1,1
30,0,255,255,255,2334,1072,2334,1072,1,1
31,0,255,255,255,845,1071,845,1071,1,1
32,0,255,255,255,795,1065,795,1065,1,1
33,0,255,255,255,2065,1060,2065,1060,1,1
34,0,255,255,255,740,1060,740,1060,1,1
35,0,255,255,255,2314,1050,2314,1050,1,1
36,0,255,255,255,363,1047,363,1047,1,1
37,0,255,255,255,2054,1041,2054,1041,1,1
38,0,255,255,255,2231,1022,2231,1022,1,1
39,0,255,255,255,2292,1017,2292,1017,1,1
40,0,255,255,255,2029,1004,2029,1004,1,1
41,0,255,255,255,804,1000,804,1000,1,1
42,0,255,255,255,2468,997,2468,997,1,1
43,0,255,255,255,2283,997,2283,997,1,1
44,0,255,255,255,2151,991,2151,991,1,1
45,0,255,255,255,2272,990,2272,990,1,1
46,0,255,255,255,2212,979,2212,979,1,1
47,0,255,255,255,2105,976,2105,976,1,1
48,0,255,255,255,242,951,242,951,1,1
49,0,255,255,255,603,938,603,938,1,1
50,0,255,255,255,2162,935,2162,935,1,1
51,0,255,255,255,2031,927,2031,927,1,1
52,0,255,255,255,1096,926,1096,926,1,1
53,0,255,255,255,208,924,208,924,1,1
54,0,255,255,255,2077,916,2077,916,1,1
55,0,255,255,255,2210,911,2210,911,1,1
56,0,255,255,255,1180,901,1180,901,1,1
57,0,255,255,255,2325,897,2325,897,1,1
58,0,255,255,255,2235,897,2235,897,1,1
59,0,255,255,255,2056,897,2056,897,1,1
60,0,255,255,255,267,896,267,896,1,1
61,0,255,255,255,2441,882,2441,882,1,1
62,0,255,255,255,1011,880,1011,880,1,1
63,0,255,255,255,497,876,497,876,1,1
64,0,255,255,255,2053,867,2053,867,1,1
65,0,255,255,255,1300,848,1300,848,1,1
66,0,255,255,255,1332,840,1332,840,1,1
67,0,255,255,255,2008,835,2008,835,1,1
68,0,255,255,255,1520,835,1520,835,1,1
69,0,255,255,255,990,827,990,827,1,1
70,0,255,255,255,2046,822,2046,822,1,1
71,0,255,255,255,2020,820,2020,820,1,1
72,0,255,255,255,1059,816,1059,816,1,1
73,0,255,255,255,1623,813,1623,813,1,1
74,0,255,255,255,1708,811,1708,811,1,1
75,0,255,255,255,2255,809,2255,809,1,1
76,0,255,255,255,882,802,882,802,1,1
77,0,255,255,255,1893,801,1893,801,1,1
78,0,255,255,255,2042,800,2042,800,1,1
79,0,255,255,255,1938,798,1938,798,1,1
80,0,255,255,255,1613,797,1613,797,1,1
81,0,255,255,255,2004,796,2004,796,1,1
82,0,255,255,255,1384,796,1384,796,1,1
83,0,255,255,255,1773,792,1773,792,1,1
84,0,255,255,255,1939,788,1939,788,1,1
85,0,255,255,255,1493,783,1493,783,1,1
86,0,255,255,255,1759,777,1759,777,1,1
87,0,255,255,255,1463,776,1463,776,1,1
88,0,255,255,255,1901,774,1901,774,1,1
89,0,255,255,255,1091,773,1091,773,1,1
90,0,255,255,255,1854,764,1854,764,1,1
91,0,255,255,255,1048,761,1048,761,1,1
92,0,255,255,255,1392,760,1392,760,1,1
93,0,255,255,255,1779,759,1779,759,1,1
94,0,255,255,255,1615,759,1615,759,1,1
95,0,255,255,255,1438,758,1438,758,1,1
96,0,255,255,255,1331,757,1331,757,1,1
97,0,255,255,255,2129,754,2129,754,1,1
98,0,255,255,255,1563,753,1563,753,1,1
99,0,255,255,255,1472,748,1472,748,1,1
100,0,255,255,255,1968,740,1968,740,1,1
101,0,255,255,255,1902,739,1902,739,1,1
102,0,255,255,255,2026,737,2026,737,1,1
103,0,255,255,255,1865,730,1865,730,1,1
104,0,255,255,255,1797,730,1797,730,1,1
105,0,255,255,255,1216,729,1216,729,1,1
106,0,255,255,255,1598,719,1598,719,1,1
107,0,255,255,255,230,716,230,716,1,1
108,0,255,255,255,1868,715,1868,715,1,1
109,0,255,255,255,1810,713,1810,713,1,1
110,0,255,255,255,1448,713,1448,713,1,1
111,0,255,255,255,1345,712,1345,712,1,1
112,0,255,255,255,1117,711,1117,711,1,1
113,0,255,255,255,1924,710,1924,710,1,1
114,0,255,255,255,1363,708,1363,708,1,1
115,0,255,255,255,2183,705,2183,705,1,1
116,0,255,255,255,1626,705,1626,705,1,1
117,0,255,255,255,2074,702,2074,702,1,1
118,0,255,255,255,1720,698,1720,698,1,1
119,0,255,255,255,1243,696,1243,696,1,1
120,0,255,255,255,1345,694,1345,694,1,1
121,0,255,255,255,333,694,333,694,1,1
122,0,255,255,255,1734,692,1734,692,1,1
123,0,255,255,255,308,691,308,691,1,1
124,0,255,255,255,3250,688,3250,688,1,1
125,0,255,255,255,1926,685,1926,685,1,1
126,0,255,255,255,1713,682,1713,682,1,1
127,0,255,255,255,1885,681,1885,681,1,1
128,0,255,255,255,1697,681,1697,681,1,1
129,0,255,255,255,564,676,564,676,1,1
130,0,255,255,255,1241,673,1241,673,1,1
131,0,255,255,255,1259,671,1259,671,1,1
132,0,255,255,255,1952,670,1952,670,1,1
133,0,255,255,255,1801,670,1801,670,1,1
134,0,255,255,255,1327,668,1327,668,1,1
135,0,255,255,255,1687,662,1687,662,1,1
136,0,255,255,255,1145,659,1145,659,1,1
137,0,255,255,255,339,659,339,659,1,1
138,0,255,255,255,379,658,379,658,1,1
139,0,255,255,255,2109,657,2109,657,1,1
140,0,255,255,255,2025,657,2025,657,1,1
141,0,255,255,255,1969,654,1969,654,1,1
142,0,255,255,255,2063,644,2063,644,1,1
143,0,255,255,255,1144,637,1144,637,1,1
144,0,255,255,255,914,636,914,636,1,1
145,0,255,255,255,2012,634,2012,634,1,1
146,0,255,255,255,2100,621,2100,621,1,1
147,0,255,255,255,3174,597,3174,597,1,1
148,0,255,255,255,1195,590,1195,590,1,1
149,0,255,255,255,595,572,595,572,1,1
150,0,255,255,255,1190,569,1190,569,1,1
151,0,255,255,255,3250,553,3250,553,1,1
152,0,255,255,255,551,540,551,540,1,1
153,0,255,255,255,637,539,637,539,1,1
154,0,255,255,255,567,510,567,510,1,1
155,0,255,255,255,635,509,635,509,1,1
156,0,255,255,255,523,502,523,502,1,1
157,0,255,255,255,2213,500,2213,500,1,1
158,0,255,255,255,3222,498,3222,498,1,1
159,0,255,255,255,579,476,579,476,1,1
160,0,255,255,255,698,470,698,470,1,1
161,0,255,255,255,621,472,621,472,1,1
162,0,255,255,255,311,468,311,468,1,1
163,0,255,255,255,535,466,535,466,1,1
164,0,255,255,255,660,462,660,462,1,1
165,0,255,255,255,508,462,508,462,1,1
166,0,255,255,255,683,459,683,459,1,1
167,0,255,255,255,266,455,266,455,1,1
168,0,255,255,255,583,454,583,454,1,1
169,0,255,255,255,243,451,243,451,1,1
170,0,255,255,255,720,442,720,442,1,1
171,0,255,255,255,93,423,93,423,1,1
172,0,255,255,255,707,414,707,414,1,1
173,0,255,255,255,206,414,206,414,1,1
174,0,255,255,255,237,403,237,403,1,1
175,0,255,255,255,222,382,222,382,1,1
176,0,255,255,255,276,364,276,364,1,1
177,0,255,255,255,333,362,333,362,1,1
178,0,255,255,255,207,361,207,361,1,1
179,0,255,255,255,399,353,399,353,1,1
180,0,255,255,255,378,342,378,342,1,1
181,0,255,255,255,278,340,278,340,1,1
182,0,255,255,255,437,331,437,331,1,1
183,0,255,255,255,252,328,252,328,1,1
184,0,255,255,255,307,322,307,322,1,1
185,0,255,255,255,282,313,282,313,1,1
186,0,255,255,255,360,308,360,308,1,1
187,0,255,255,255,202,307,202,307,1,1
188,0,255,255,255,378,300,378,300,1,1
189,0,255,255,255,302,300,302,300,1,1
190,0,255,255,255,269,290,269,290,1,1
191,0,255,255,255,339,288,339,288,1,1
192,0,255,255,255,250,278,250,278,1,1
