 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,3314,2050,3314,2050,1,1
2,0,255,255,255,3943,1988,3943,1988,1,1
3,0,255,255,255,3508,1928,3508,1928,1,1
4,0,255,255,255,3205,1927,3205,1927,1,1
5,0,255,255,255,2570,1925,2570,1925,1,1
6,0,255,255,255,2049,1924,2049,1924,1,1
7,0,255,255,255,3111,1920,3111,1920,1,1
8,0,255,255,255,3894,1919,3894,1919,1,1
9,0,255,255,255,3991,1909,3991,1909,1,1
10,0,255,255,255,2700,1908,2700,1908,1,1
11,0,255,255,255,2419,1902,2419,1902,1,1
12,0,255,255,255,2751,1892,2751,1892,1,1
13,0,255,255,255,793,1891,793,1891,1,1
14,0,255,255,255,822,1882,822,1882,1,1
15,0,255,255,255,779,1878,779,1878,1,1
16,0,255,255,255,2473,1877,2473,1877,1,1
17,0,255,255,255,859,1871,859,1871,1,1
18,0,255,255,255,2175,1868,2175,1868,1,1
19,0,255,255,255,3570,1865,3570,1865,1,1
20,0,255,255,255,815,1867,815,1867,1,1
21,0,255,255,255,758,1865,758,1865,1,1
22,0,255,255,255,3565,1859,3565,1859,1,1
23,0,255,255,255,3627,1858,3627,1858,1,1
24,0,255,255,255,793,1858,793,1858,1,1
25,0,255,255,255,736,1857,736,1857,1,1
26,0,255,255,255,855,1855,855,1855,1,1
27,0,255,255,255,2213,1852,2213,1852,1,1
28,0,255,255,255,2634,1851,2634,1851,1,1
29,0,255,255,255,3654,1845,3654,1845,1,1
30,0,255,255,255,718,1844,718,1844,1,1
31,0,255,255,255,2944,1841,2944,1841,1,1
32,0,255,255,255,2290,1840,2290,1840,1,1
33,0,255,255,255,3567,1838,3567,1838,1,1
34,0,255,255,255,2357,1838,2357,1838,1,1
35,0,255,255,255,2320,1838,2320,1838,1,1
36,0,255,255,255,3621,1837,3621,1837,1,1
37,0,255,255,255,2025,1836,2025,1836,1,1
38,0,255,255,255,2227,1835,2227,1835,1,1
39,0,255,255,255,2562,1834,2562,1834,1,1
40,0,255,255,255,2402,1834,2402,1834,1,1
41,0,255,255,255,2631,1832,2631,1832,1,1
42,0,255,255,255,2207,1832,2207,1832,1,1
43,0,255,255,255,786,1831,786,1831,1,1
44,0,255,255,255,2184,1825,2184,1825,1,1
45,0,255,255,255,2969,1823,2969,1823,1,1
46,0,255,255,255,2944,1823,2944,1823,1,1
47,0,255,255,255,2541,1822,2541,1822,1,1
48,0,255,255,255,739,1821,739,1821,1,1
49,0,255,255,255,811,1818,811,1818,1,1
50,0,255,255,255,2674,1819,2674,1819,1,1
51,0,255,255,255,2329,1819,2329,1819,1,1
52,0,255,255,255,2274,1819,2274,1819,1,1
53,0,255,255,255,2143,1818,2143,1818,1,1
54,0,255,255,255,2648,1813,2648,1813,1,1
55,0,255,255,255,2317,1813,2317,1813,1,1
56,0,255,255,255,4025,1811,4025,1811,1,1
57,0,255,255,255,2560,1811,2560,1811,1,1
58,0,255,255,255,775,1808,775,1808,1,1
59,0,255,255,255,4063,1807,4063,1807,1,1
60,0,255,255,255,2343,1805,2343,1805,1,1
61,0,255,255,255,1572,1804,1572,1804,1,1
62,0,255,255,255,2706,1803,2706,1803,1,1
63,0,255,255,255,3554,1799,3554,1799,1,1
64,0,255,255,255,2677,1799,2677,1799,1,1
65,0,255,255,255,2976,1798,2976,1798,1,1
66,0,255,255,255,2645,1797,2645,1797,1,1
67,0,255,255,255,2342,1792,2342,1792,1,1
68,0,255,255,255,2269,1792,2269,1792,1,1
69,0,255,255,255,4079,1791,4079,1791,1,1
70,0,255,255,255,2785,1791,2785,1791,1,1
71,0,255,255,255,2328,1790,2328,1790,1,1
72,0,255,255,255,1421,1789,1421,1789,1,1
73,0,255,255,255,2704,1787,2704,1787,1,1
74,0,255,255,255,2516,1785,2516,1785,1,1
75,0,255,255,255,2499,1785,2499,1785,1,1
76,0,255,255,255,2290,1784,2290,1784,1,1
77,0,255,255,255,2345,1782,2345,1782,1,1
78,0,255,255,255,2664,1781,2664,1781,1,1
79,0,255,255,255,2399,1780,2399,1780,1,1
80,0,255,255,255,2242,1780,2242,1780,1,1
81,0,255,255,255,2300,1775,2300,1775,1,1
82,0,255,255,255,1371,1776,1371,1776,1,1
83,0,255,255,255,3067,1774,3067,1774,1,1
84,0,255,255,255,2321,1774,2321,1774,1,1
85,0,255,255,255,4098,1771,4098,1771,1,1
86,0,255,255,255,2940,1768,2940,1768,1,1
87,0,255,255,255,2576,1768,2576,1768,1,1
88,0,255,255,255,2564,1767,2564,1767,1,1
89,0,255,255,255,2395,1764,2395,1764,1,1
90,0,255,255,255,2543,1765,2543,1765,1,1
