 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,3080,2029,3080,2029,1,1
2,0,255,255,255,3307,1987,3307,1987,1,1
3,0,255,255,255,2568,1944,2568,1944,1,1
4,0,255,255,255,2984,1942,2984,1942,1,1
5,0,255,255,255,2664,1915,2664,1915,1,1
6,0,255,255,255,2399,1884,2399,1884,1,1
7,0,255,255,255,2543,1883,2543,1883,1,1
8,0,255,255,255,2423,1882,2423,1882,1,1
9,0,255,255,255,2337,1872,2337,1872,1,1
10,0,255,255,255,2312,1828,2312,1828,1,1
11,0,255,255,255,2287,1824,2287,1824,1,1
12,0,255,255,255,3130,1820,3130,1820,1,1
13,0,255,255,255,2423,1817,2423,1817,1,1
14,0,255,255,255,2025,1810,2025,1810,1,1
15,0,255,255,255,2086,1808,2086,1808,1,1
16,0,255,255,255,3182,1799,3182,1799,1,1
17,0,255,255,255,2439,1790,2439,1790,1,1
18,0,255,255,255,2163,1778,2163,1778,1,1
19,0,255,255,255,2313,1776,2313,1776,1,1
20,0,255,255,255,2678,1774,2678,1774,1,1
21,0,255,255,255,2054,1773,2054,1773,1,1
22,0,255,255,255,2741,1772,2741,1772,1,1
23,0,255,255,255,2142,1760,2142,1760,1,1
24,0,255,255,255,2618,1756,2618,1756,1,1
25,0,255,255,255,3375,1750,3375,1750,1,1
26,0,255,255,255,1748,1745,1748,1745,1,1
27,0,255,255,255,2428,1744,2428,1744,1,1
28,0,255,255,255,2309,1744,2309,1744,1,1
29,0,255,255,255,2264,1740,2264,1740,1,1
30,0,255,255,255,2616,1728,2616,1728,1,1
31,0,255,255,255,2851,1727,2851,1727,1,1
32,0,255,255,255,1886,1726,1886,1726,1,1
33,0,255,255,255,2297,1723,2297,1723,1,1
34,0,255,255,255,2581,1717,2581,1717,1,1
35,0,255,255,255,2433,1716,2433,1716,1,1
36,0,255,255,255,2339,1707,2339,1707,1,1
37,0,255,255,255,2549,1703,2549,1703,1,1
38,0,255,255,255,2907,1701,2907,1701,1,1
39,0,255,255,255,1966,1701,1966,1701,1,1
40,0,255,255,255,2362,1699,2362,1699,1,1
41,0,255,255,255,1893,1699,1893,1699,1,1
42,0,255,255,255,2566,1693,2566,1693,1,1
43,0,255,255,255,3366,1690,3366,1690,1,1
44,0,255,255,255,2385,1690,2385,1690,1,1
45,0,255,255,255,2190,1689,2190,1689,1,1
46,0,255,255,255,2397,1687,2397,1687,1,1
47,0,255,255,255,2764,1686,2764,1686,1,1
48,0,255,255,255,2128,1682,2128,1682,1,1
49,0,255,255,255,2007,1677,2007,1677,1,1
50,0,255,255,255,2945,1662,2945,1662,1,1
51,0,255,255,255,2116,1657,2116,1657,1,1
52,0,255,255,255,2389,1656,2389,1656,1,1
53,0,255,255,255,2522,1655,2522,1655,1,1
54,0,255,255,255,2612,1654,2612,1654,1,1
55,0,255,255,255,2786,1650,2786,1650,1,1
56,0,255,255,255,2332,1645,2332,1645,1,1
57,0,255,255,255,2308,1643,2308,1643,1,1
58,0,255,255,255,2286,1638,2286,1638,1,1
59,0,255,255,255,2693,1637,2693,1637,1,1
60,0,255,255,255,2501,1637,2501,1637,1,1
61,0,255,255,255,2202,1637,2202,1637,1,1
62,0,255,255,255,2382,1633,2382,1633,1,1
63,0,255,255,255,1992,1632,1992,1632,1,1
64,0,255,255,255,2763,1629,2763,1629,1,1
65,0,255,255,255,2019,1628,2019,1628,1,1
66,0,255,255,255,2794,1617,2794,1617,1,1
67,0,255,255,255,2847,1616,2847,1616,1,1
68,0,255,255,255,3384,1612,3384,1612,1,1
69,0,255,255,255,2780,1612,2780,1612,1,1
70,0,255,255,255,2298,1612,2298,1612,1,1
71,0,255,255,255,2484,1610,2484,1610,1,1
72,0,255,255,255,2202,1610,2202,1610,1,1
73,0,255,255,255,2406,1609,2406,1609,1,1
74,0,255,255,255,2617,1608,2617,1608,1,1
75,0,255,255,255,2274,1600,2274,1600,1,1
76,0,255,255,255,2366,1596,2366,1596,1,1
77,0,255,255,255,2162,1596,2162,1596,1,1
78,0,255,255,255,2291,1595,2291,1595,1,1
79,0,255,255,255,2850,1594,2850,1594,1,1
80,0,255,255,255,2665,1591,2665,1591,1,1
81,0,255,255,255,2689,1590,2689,1590,1,1
82,0,255,255,255,2626,1589,2626,1589,1,1
83,0,255,255,255,2577,1588,2577,1588,1,1
84,0,255,255,255,2803,1585,2803,1585,1,1
85,0,255,255,255,2479,1583,2479,1583,1,1
86,0,255,255,255,2141,1583,2141,1583,1,1
87,0,255,255,255,2273,1581,2273,1581,1,1
88,0,255,255,255,2605,1579,2605,1579,1,1
89,0,255,255,255,2257,1574,2257,1574,1,1
90,0,255,255,255,2124,1573,2124,1573,1,1
91,0,255,255,255,2653,1571,2653,1571,1,1
92,0,255,255,255,2516,1569,2516,1569,1,1
93,0,255,255,255,2413,1569,2413,1569,1,1
94,0,255,255,255,2953,1566,2953,1566,1,1
95,0,255,255,255,2366,1565,2366,1565,1,1
96,0,255,255,255,2146,1564,2146,1564,1,1
97,0,255,255,255,2319,1563,2319,1563,1,1
98,0,255,255,255,1990,1563,1990,1563,1,1
99,0,255,255,255,2258,1562,2258,1562,1,1
100,0,255,255,255,2337,1561,2337,1561,1,1
101,0,255,255,255,2982,1560,2982,1560,1,1
102,0,255,255,255,2023,1558,2023,1558,1,1
103,0,255,255,255,1945,1557,1945,1557,1,1
104,0,255,255,255,2038,1552,2038,1552,1,1
105,0,255,255,255,2675,1550,2675,1550,1,1
106,0,255,255,255,2613,1550,2613,1550,1,1
107,0,255,255,255,2419,1550,2419,1550,1,1
108,0,255,255,255,2120,1550,2120,1550,1,1
109,0,255,255,255,2589,1549,2589,1549,1,1
