 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,2987,2480,2987,2480,1,1
2,0,255,255,255,2944,2400,2944,2400,1,1
3,0,255,255,255,2882,2398,2882,2398,1,1
4,0,255,255,255,2942,2383,2942,2383,1,1
5,0,255,255,255,2203,2352,2203,2352,1,1
6,0,255,255,255,1821,2211,1821,2211,1,1
7,0,255,255,255,2567,2091,2567,2091,1,1
8,0,255,255,255,2427,2074,2427,2074,1,1
9,0,255,255,255,1976,2040,1976,2040,1,1
10,0,255,255,255,2757,2021,2757,2021,1,1
11,0,255,255,255,2569,2012,2569,2012,1,1
12,0,255,255,255,2738,2011,2738,2011,1,1
13,0,255,255,255,726,2003,726,2003,1,1
14,0,255,255,255,2769,1975,2769,1975,1,1
15,0,255,255,255,996,1924,996,1924,1,1
16,0,255,255,255,2368,1912,2368,1912,1,1
17,0,255,255,255,2399,1903,2399,1903,1,1
18,0,255,255,255,2133,1879,2133,1879,1,1
19,0,255,255,255,2415,1866,2415,1866,1,1
20,0,255,255,255,2640,1860,2640,1860,1,1
21,0,255,255,255,1203,1830,1203,1830,1,1
22,0,255,255,255,2137,1819,2137,1819,1,1
23,0,255,255,255,1634,1818,1634,1818,1,1
24,0,255,255,255,1803,1812,1803,1812,1,1
25,0,255,255,255,1584,1812,1584,1812,1,1
26,0,255,255,255,1744,1805,1744,1805,1,1
27,0,255,255,255,2337,1793,2337,1793,1,1
28,0,255,255,255,973,1787,973,1787,1,1
29,0,255,255,255,613,1782,613,1782,1,1
30,0,255,255,255,2154,1779,2154,1779,1,1
31,0,255,255,255,601,1762,601,1762,1,1
32,0,255,255,255,1964,1734,1964,1734,1,1
33,0,255,255,255,2101,1732,2101,1732,1,1
34,0,255,255,255,2060,1729,2060,1729,1,1
35,0,255,255,255,1794,1729,1794,1729,1,1
36,0,255,255,255,955,1724,955,1724,1,1
37,0,255,255,255,2364,1718,2364,1718,1,1
38,0,255,255,255,1700,1715,1700,1715,1,1
39,0,255,255,255,1239,1692,1239,1692,1,1
40,0,255,255,255,2318,1669,2318,1669,1,1
41,0,255,255,255,1302,1654,1302,1654,1,1
42,0,255,255,255,2269,1652,2269,1652,1,1
43,0,255,255,255,2063,1641,2063,1641,1,1
44,0,255,255,255,2367,1639,2367,1639,1,1
45,0,255,255,255,1659,1639,1659,1639,1,1
46,0,255,255,255,1601,1631,1601,1631,1,1
47,0,255,255,255,1232,1628,1232,1628,1,1
48,0,255,255,255,1003,1628,1003,1628,1,1
49,0,255,255,255,1462,1620,1462,1620,1,1
50,0,255,255,255,2147,1616,2147,1616,1,1
51,0,255,255,255,1673,1615,1673,1615,1,1
52,0,255,255,255,1611,1598,1611,1598,1,1
53,0,255,255,255,1750,1597,1750,1597,1,1
54,0,255,255,255,2646,1595,2646,1595,1,1
55,0,255,255,255,1119,1591,1119,1591,1,1
56,0,255,255,255,1736,1573,1736,1573,1,1
57,0,255,255,255,1952,1571,1952,1571,1,1
58,0,255,255,255,1152,1566,1152,1566,1,1
59,0,255,255,255,1982,1561,1982,1561,1,1
60,0,255,255,255,2250,1551,2250,1551,1,1
61,0,255,255,255,2180,1549,2180,1549,1,1
62,0,255,255,255,1645,1547,1645,1547,1,1
63,0,255,255,255,2322,1538,2322,1538,1,1
64,0,255,255,255,1676,1538,1676,1538,1,1
65,0,255,255,255,1550,1535,1550,1535,1,1
66,0,255,255,255,2351,1535,2351,1535,1,1
67,0,255,255,255,1570,1535,1570,1535,1,1
68,0,255,255,255,1596,1528,1596,1528,1,1
69,0,255,255,255,1541,1528,1541,1528,1,1
70,0,255,255,255,1631,1527,1631,1527,1,1
71,0,255,255,255,1413,1522,1413,1522,1,1
72,0,255,255,255,1344,1518,1344,1518,1,1
73,0,255,255,255,1382,1507,1382,1507,1,1
74,0,255,255,255,1793,1503,1793,1503,1,1
75,0,255,255,255,1658,1501,1658,1501,1,1
76,0,255,255,255,1452,1499,1452,1499,1,1
77,0,255,255,255,1503,1497,1503,1497,1,1
78,0,255,255,255,1957,1493,1957,1493,1,1
79,0,255,255,255,1603,1487,1603,1487,1,1
80,0,255,255,255,2425,1486,2425,1486,1,1
81,0,255,255,255,1386,1485,1386,1485,1,1
82,0,255,255,255,1703,1476,1703,1476,1,1
83,0,255,255,255,1419,1476,1419,1476,1,1
84,0,255,255,255,1543,1474,1543,1474,1,1
85,0,255,255,255,1521,1473,1521,1473,1,1
86,0,255,255,255,1649,1472,1649,1472,1,1
87,0,255,255,255,1068,1470,1068,1470,1,1
88,0,255,255,255,725,1470,725,1470,1,1
89,0,255,255,255,2318,1466,2318,1466,1,1
90,0,255,255,255,1685,1462,1685,1462,1,1
91,0,255,255,255,1674,1461,1674,1461,1,1
92,0,255,255,255,1533,1461,1533,1461,1,1
93,0,255,255,255,2036,1459,2036,1459,1,1
94,0,255,255,255,1445,1459,1445,1459,1,1
95,0,255,255,255,1461,1455,1461,1455,1,1
96,0,255,255,255,1585,1454,1585,1454,1,1
97,0,255,255,255,1610,1453,1610,1453,1,1
98,0,255,255,255,1428,1452,1428,1452,1,1
99,0,255,255,255,1890,1448,1890,1448,1,1
100,0,255,255,255,1659,1448,1659,1448,1,1
101,0,255,255,255,1411,1448,1411,1448,1,1
102,0,255,255,255,1730,1437,1730,1437,1,1
103,0,255,255,255,1577,1435,1577,1435,1,1
104,0,255,255,255,1591,1436,1591,1436,1,1
105,0,255,255,255,1566,1436,1566,1436,1,1
106,0,255,255,255,1390,1436,1390,1436,1,1
107,0,255,255,255,1838,1434,1838,1434,1,1
108,0,255,255,255,1796,1434,1796,1434,1,1
109,0,255,255,255,1543,1431,1543,1431,1,1
110,0,255,255,255,1293,1431,1293,1431,1,1
111,0,255,255,255,1911,1430,1911,1430,1,1
112,0,255,255,255,1503,1429,1503,1429,1,1
113,0,255,255,255,1457,1426,1457,1426,1,1
114,0,255,255,255,1201,1425,1201,1425,1,1
115,0,255,255,255,1373,1421,1373,1421,1,1
116,0,255,255,255,1659,1420,1659,1420,1,1
117,0,255,255,255,1568,1418,1568,1418,1,1
118,0,255,255,255,888,1417,888,1417,1,1
119,0,255,255,255,1432,1416,1432,1416,1,1
120,0,255,255,255,1911,1415,1911,1415,1,1
121,0,255,255,255,1708,1415,1708,1415,1,1
122,0,255,255,255,1838,1414,1838,1414,1,1
123,0,255,255,255,1691,1411,1691,1411,1,1
124,0,255,255,255,1752,1410,1752,1410,1,1
125,0,255,255,255,1640,1408,1640,1408,1,1
126,0,255,255,255,1521,1406,1521,1406,1,1
127,0,255,255,255,1408,1405,1408,1405,1,1
128,0,255,255,255,764,1405,764,1405,1,1
129,0,255,255,255,1426,1402,1426,1402,1,1
130,0,255,255,255,1574,1400,1574,1400,1,1
131,0,255,255,255,1556,1399,1556,1399,1,1
132,0,255,255,255,1327,1399,1327,1399,1,1
133,0,255,255,255,1881,1398,1881,1398,1,1
134,0,255,255,255,1282,1398,1282,1398,1,1
135,0,255,255,255,1533,1397,1533,1397,1,1
136,0,255,255,255,1245,1397,1245,1397,1,1
137,0,255,255,255,1724,1395,1724,1395,1,1
138,0,255,255,255,1352,1394,1352,1394,1,1
139,0,255,255,255,1166,1392,1166,1392,1,1
140,0,255,255,255,1753,1391,1753,1391,1,1
141,0,255,255,255,1618,1391,1618,1391,1,1
142,0,255,255,255,1044,1391,1044,1391,1,1
143,0,255,255,255,1367,1389,1367,1389,1,1
144,0,255,255,255,1773,1383,1773,1383,1,1
145,0,255,255,255,1664,1381,1664,1381,1,1
146,0,255,255,255,1231,1380,1231,1380,1,1
147,0,255,255,255,1575,1377,1575,1377,1,1
148,0,255,255,255,1702,1376,1702,1376,1,1
149,0,255,255,255,1480,1373,1480,1373,1,1
150,0,255,255,255,1030,1372,1030,1372,1,1
151,0,255,255,255,1988,1370,1988,1370,1,1
152,0,255,255,255,1378,1370,1378,1370,1,1
153,0,255,255,255,1743,1367,1743,1367,1,1
154,0,255,255,255,1465,1367,1465,1367,1,1
155,0,255,255,255,1346,1367,1346,1367,1,1
156,0,255,255,255,2447,1365,2447,1365,1,1
157,0,255,255,255,1667,1365,1667,1365,1,1
158,0,255,255,255,1499,1365,1499,1365,1,1
159,0,255,255,255,1723,1364,1723,1364,1,1
160,0,255,255,255,1830,1362,1830,1362,1,1
161,0,255,255,255,1042,1362,1042,1362,1,1
162,0,255,255,255,1418,1359,1418,1359,1,1
163,0,255,255,255,1545,1358,1545,1358,1,1
164,0,255,255,255,2289,1356,2289,1356,1,1
165,0,255,255,255,1682,1354,1682,1354,1,1
166,0,255,255,255,1961,1353,1961,1353,1,1
167,0,255,255,255,2510,1352,2510,1352,1,1
168,0,255,255,255,1771,1351,1771,1351,1,1
169,0,255,255,255,1315,1347,1315,1347,1,1
170,0,255,255,255,2390,1346,2390,1346,1,1
171,0,255,255,255,1731,1346,1731,1346,1,1
172,0,255,255,255,1438,1345,1438,1345,1,1
173,0,255,255,255,1420,1344,1420,1344,1,1
174,0,255,255,255,1073,1344,1073,1344,1,1
175,0,255,255,255,1620,1342,1620,1342,1,1
176,0,255,255,255,1566,1340,1566,1340,1,1
177,0,255,255,255,1674,1337,1674,1337,1,1
178,0,255,255,255,1356,1336,1356,1336,1,1
179,0,255,255,255,1223,1334,1223,1334,1,1
180,0,255,255,255,1540,1333,1540,1333,1,1
181,0,255,255,255,1384,1333,1384,1333,1,1
182,0,255,255,255,2111,1331,2111,1331,1,1
183,0,255,255,255,1155,1331,1155,1331,1,1
184,0,255,255,255,1340,1329,1340,1329,1,1
185,0,255,255,255,1295,1329,1295,1329,1,1
186,0,255,255,255,1476,1328,1476,1328,1,1
187,0,255,255,255,910,1328,910,1328,1,1
188,0,255,255,255,1490,1327,1490,1327,1,1
189,0,255,255,255,1659,1326,1659,1326,1,1
190,0,255,255,255,1818,1325,1818,1325,1,1
191,0,255,255,255,1132,1325,1132,1325,1,1
192,0,255,255,255,1595,1322,1595,1322,1,1
193,0,255,255,255,1026,1322,1026,1322,1,1
194,0,255,255,255,1728,1321,1728,1321,1,1
195,0,255,255,255,1546,1319,1546,1319,1,1
196,0,255,255,255,1491,1312,1491,1312,1,1
197,0,255,255,255,1406,1313,1406,1313,1,1
198,0,255,255,255,1872,1312,1872,1312,1,1
199,0,255,255,255,1678,1311,1678,1311,1,1
200,0,255,255,255,1559,1311,1559,1311,1,1
201,0,255,255,255,1455,1311,1455,1311,1,1
202,0,255,255,255,1129,1310,1129,1310,1,1
203,0,255,255,255,1500,1308,1500,1308,1,1
204,0,255,255,255,1709,1307,1709,1307,1,1
205,0,255,255,255,1332,1306,1332,1306,1,1
206,0,255,255,255,988,1306,988,1306,1,1
207,0,255,255,255,1767,1305,1767,1305,1,1
208,0,255,255,255,1380,1305,1380,1305,1,1
209,0,255,255,255,1485,1303,1485,1303,1,1
210,0,255,255,255,1352,1303,1352,1303,1,1
211,0,255,255,255,1224,1303,1224,1303,1,1
212,0,255,255,255,1182,1303,1182,1303,1,1
213,0,255,255,255,2287,1302,2287,1302,1,1
214,0,255,255,255,1430,1302,1430,1302,1,1
215,0,255,255,255,1271,1302,1271,1302,1,1
216,0,255,255,255,1204,1301,1204,1301,1,1
217,0,255,255,255,1367,1300,1367,1300,1,1
218,0,255,255,255,1734,1296,1734,1296,1,1
219,0,255,255,255,1408,1296,1408,1296,1,1
220,0,255,255,255,1504,1295,1504,1295,1,1
221,0,255,255,255,1622,1293,1622,1293,1,1
222,0,255,255,255,2055,1291,2055,1291,1,1
223,0,255,255,255,1590,1289,1590,1289,1,1
224,0,255,255,255,1579,1288,1579,1288,1,1
225,0,255,255,255,1478,1288,1478,1288,1,1
226,0,255,255,255,1068,1288,1068,1288,1,1
227,0,255,255,255,918,1286,918,1286,1,1
228,0,255,255,255,1666,1281,1666,1281,1,1
229,0,255,255,255,1395,1283,1395,1283,1,1
230,0,255,255,255,1434,1282,1434,1282,1,1
231,0,255,255,255,1213,1282,1213,1282,1,1
232,0,255,255,255,1403,1279,1403,1279,1,1
233,0,255,255,255,1348,1281,1348,1281,1,1
234,0,255,255,255,1708,1280,1708,1280,1,1
235,0,255,255,255,1511,1280,1511,1280,1,1
236,0,255,255,255,1374,1280,1374,1280,1,1
237,0,255,255,255,1282,1280,1282,1280,1,1
238,0,255,255,255,1168,1280,1168,1280,1,1
239,0,255,255,255,2363,1279,2363,1279,1,1
240,0,255,255,255,1681,1279,1681,1279,1,1
241,0,255,255,255,1670,1275,1670,1275,1,1
242,0,255,255,255,1331,1275,1331,1275,1,1
243,0,255,255,255,1905,1274,1905,1274,1,1
244,0,255,255,255,1533,1272,1533,1272,1,1
245,0,255,255,255,1391,1269,1391,1269,1,1
246,0,255,255,255,1601,1270,1601,1270,1,1
247,0,255,255,255,1559,1270,1559,1270,1,1
248,0,255,255,255,1478,1270,1478,1270,1,1
249,0,255,255,255,1309,1269,1309,1269,1,1
250,0,255,255,255,1236,1269,1236,1269,1,1
251,0,255,255,255,1187,1268,1187,1268,1,1
252,0,255,255,255,1625,1267,1625,1267,1,1
253,0,255,255,255,1775,1266,1775,1266,1,1
254,0,255,255,255,1653,1266,1653,1266,1,1
255,0,255,255,255,1066,1266,1066,1266,1,1
256,0,255,255,255,1409,1265,1409,1265,1,1
257,0,255,255,255,1354,1265,1354,1265,1,1
258,0,255,255,255,936,1264,936,1264,1,1
259,0,255,255,255,1275,1263,1275,1263,1,1
260,0,255,255,255,2356,1262,2356,1262,1,1
261,0,255,255,255,1453,1260,1453,1260,1,1
262,0,255,255,255,1711,1259,1711,1259,1,1
263,0,255,255,255,1526,1259,1526,1259,1,1
264,0,255,255,255,1417,1259,1417,1259,1,1
265,0,255,255,255,1211,1259,1211,1259,1,1
266,0,255,255,255,1847,1256,1847,1256,1,1
267,0,255,255,255,1595,1256,1595,1256,1,1
268,0,255,255,255,1248,1256,1248,1256,1,1
269,0,255,255,255,1557,1255,1557,1255,1,1
270,0,255,255,255,1331,1255,1331,1255,1,1
271,0,255,255,255,1457,1252,1457,1252,1,1
272,0,255,255,255,1384,1254,1384,1254,1,1
273,0,255,255,255,2391,1252,2391,1252,1,1
274,0,255,255,255,1631,1252,1631,1252,1,1
275,0,255,255,255,1495,1251,1495,1251,1,1
276,0,255,255,255,1716,1248,1716,1248,1,1
277,0,255,255,255,940,1248,940,1248,1,1
278,0,255,255,255,1668,1247,1668,1247,1,1
279,0,255,255,255,1363,1247,1363,1247,1,1
280,0,255,255,255,2723,1245,2723,1245,1,1
281,0,255,255,255,1549,1243,1549,1243,1,1
282,0,255,255,255,2088,1243,2088,1243,1,1
283,0,255,255,255,1455,1242,1455,1242,1,1
284,0,255,255,255,1429,1242,1429,1242,1,1
285,0,255,255,255,1275,1242,1275,1242,1,1
286,0,255,255,255,1862,1241,1862,1241,1,1
287,0,255,255,255,1603,1241,1603,1241,1,1
288,0,255,255,255,1501,1241,1501,1241,1,1
289,0,255,255,255,1522,1240,1522,1240,1,1
290,0,255,255,255,1375,1238,1375,1238,1,1
291,0,255,255,255,1289,1240,1289,1240,1,1
292,0,255,255,255,2128,1238,2128,1238,1,1
293,0,255,255,255,1538,1238,1538,1238,1,1
294,0,255,255,255,1394,1238,1394,1238,1,1
295,0,255,255,255,1040,1238,1040,1238,1,1
296,0,255,255,255,1332,1237,1332,1237,1,1
297,0,255,255,255,2524,1236,2524,1236,1,1
298,0,255,255,255,1262,1235,1262,1235,1,1
299,0,255,255,255,1207,1235,1207,1235,1,1
300,0,255,255,255,2468,1232,2468,1232,1,1
301,0,255,255,255,1918,1232,1918,1232,1,1
302,0,255,255,255,1722,1232,1722,1232,1,1
303,0,255,255,255,1702,1231,1702,1231,1,1
304,0,255,255,255,1113,1230,1113,1230,1,1
305,0,255,255,255,1620,1228,1620,1228,1,1
306,0,255,255,255,1361,1228,1361,1228,1,1
307,0,255,255,255,1603,1227,1603,1227,1,1
308,0,255,255,255,1230,1227,1230,1227,1,1
309,0,255,255,255,1183,1225,1183,1225,1,1
310,0,255,255,255,1013,1227,1013,1227,1,1
311,0,255,255,255,1310,1225,1310,1225,1,1
312,0,255,255,255,1289,1225,1289,1225,1,1
313,0,255,255,255,1900,1224,1900,1224,1,1
314,0,255,255,255,1575,1224,1575,1224,1,1
315,0,255,255,255,1508,1224,1508,1224,1,1
316,0,255,255,255,1172,1223,1172,1223,1,1
317,0,255,255,255,1864,1222,1864,1222,1,1
318,0,255,255,255,1334,1222,1334,1222,1,1
319,0,255,255,255,1206,1222,1206,1222,1,1
320,0,255,255,255,713,1222,713,1222,1,1
321,0,255,255,255,1548,1219,1548,1219,1,1
322,0,255,255,255,1394,1218,1394,1218,1,1
323,0,255,255,255,1341,1215,1341,1215,1,1
324,0,255,255,255,2289,1215,2289,1215,1,1
325,0,255,255,255,1526,1215,1526,1215,1,1
326,0,255,255,255,1265,1215,1265,1215,1,1
327,0,255,255,255,1669,1213,1669,1213,1,1
328,0,255,255,255,1189,1209,1189,1209,1,1
329,0,255,255,255,938,1210,938,1210,1,1
330,0,255,255,255,1704,1209,1704,1209,1,1
331,0,255,255,255,1635,1208,1635,1208,1,1
332,0,255,255,255,1265,1206,1265,1206,1,1
333,0,255,255,255,2632,1207,2632,1207,1,1
334,0,255,255,255,1201,1207,1201,1207,1,1
335,0,255,255,255,1038,1207,1038,1207,1,1
336,0,255,255,255,1861,1206,1861,1206,1,1
337,0,255,255,255,1750,1206,1750,1206,1,1
338,0,255,255,255,1610,1206,1610,1206,1,1
339,0,255,255,255,1686,1205,1686,1205,1,1
340,0,255,255,255,1566,1205,1566,1205,1,1
341,0,255,255,255,1284,1205,1284,1205,1,1
342,0,255,255,255,1300,1204,1300,1204,1,1
343,0,255,255,255,1077,1204,1077,1204,1,1
344,0,255,255,255,1595,1203,1595,1203,1,1
345,0,255,255,255,1314,1203,1314,1203,1,1
346,0,255,255,255,1218,1203,1218,1203,1,1
347,0,255,255,255,1344,1201,1344,1201,1,1
348,0,255,255,255,1131,1201,1131,1201,1,1
349,0,255,255,255,636,1200,636,1200,1,1
350,0,255,255,255,1654,1197,1654,1197,1,1
351,0,255,255,255,1253,1199,1253,1199,1,1
352,0,255,255,255,2038,1198,2038,1198,1,1
353,0,255,255,255,1766,1198,1766,1198,1,1
354,0,255,255,255,1393,1198,1393,1198,1,1
355,0,255,255,255,1372,1198,1372,1198,1,1
356,0,255,255,255,1555,1197,1555,1197,1,1
357,0,255,255,255,1666,1196,1666,1196,1,1
358,0,255,255,255,2694,1194,2694,1194,1,1
359,0,255,255,255,1540,1193,1540,1193,1,1
360,0,255,255,255,1637,1191,1637,1191,1,1
361,0,255,255,255,1177,1191,1177,1191,1,1
362,0,255,255,255,1600,1188,1600,1188,1,1
363,0,255,255,255,1898,1189,1898,1189,1,1
364,0,255,255,255,1811,1189,1811,1189,1,1
365,0,255,255,255,1358,1189,1358,1189,1,1
366,0,255,255,255,2088,1188,2088,1188,1,1
367,0,255,255,255,1974,1188,1974,1188,1,1
368,0,255,255,255,1829,1188,1829,1188,1,1
369,0,255,255,255,1265,1188,1265,1188,1,1
370,0,255,255,255,1239,1188,1239,1188,1,1
371,0,255,255,255,1195,1188,1195,1188,1,1
372,0,255,255,255,1778,1186,1778,1186,1,1
373,0,255,255,255,1579,1185,1579,1185,1,1
374,0,255,255,255,1408,1185,1408,1185,1,1
375,0,255,255,255,2383,1184,2383,1184,1,1
376,0,255,255,255,2112,1184,2112,1184,1,1
377,0,255,255,255,822,1184,822,1184,1,1
378,0,255,255,255,1943,1183,1943,1183,1,1
379,0,255,255,255,1613,1183,1613,1183,1,1
380,0,255,255,255,1283,1183,1283,1183,1,1
381,0,255,255,255,1797,1182,1797,1182,1,1
382,0,255,255,255,1379,1182,1379,1182,1,1
383,0,255,255,255,854,1180,854,1180,1,1
384,0,255,255,255,952,1179,952,1179,1,1
385,0,255,255,255,2387,1175,2387,1175,1,1
386,0,255,255,255,1594,1177,1594,1177,1,1
387,0,255,255,255,1633,1176,1633,1176,1,1
388,0,255,255,255,1654,1175,1654,1175,1,1
389,0,255,255,255,1698,1174,1698,1174,1,1
390,0,255,255,255,895,1174,895,1174,1,1
391,0,255,255,255,658,1174,658,1174,1,1
392,0,255,255,255,1239,1173,1239,1173,1,1
393,0,255,255,255,1189,1173,1189,1173,1,1
394,0,255,255,255,1995,1172,1995,1172,1,1
395,0,255,255,255,1672,1171,1672,1171,1,1
396,0,255,255,255,1156,1171,1156,1171,1,1
397,0,255,255,255,2067,1170,2067,1170,1,1
398,0,255,255,255,1610,1168,1610,1168,1,1
399,0,255,255,255,1226,1168,1226,1168,1,1
400,0,255,255,255,1177,1168,1177,1168,1,1
401,0,255,255,255,1830,1165,1830,1165,1,1
402,0,255,255,255,1543,1165,1543,1165,1,1
403,0,255,255,255,1289,1164,1289,1164,1,1
404,0,255,255,255,1815,1163,1815,1163,1,1
