"name"	"width"	"height"	"count"	"MaxDen"	"MaskArea"	"MaskPoints"	"MaskRatio"	"genotype"
"gMpDELLA-GUS_L2_32-YFP_itcn.csv"	3266	2447	817	0.0102965018692797	0.197569836095388	749	0.916768665850673	"gMpDELLA-GUS #2"
"gMpDELLA-GUS_L2_33-YFP_itcn.csv"	3261	2446	693	0.00935918730418094	0.196879911825072	619	0.893217893217893	"gMpDELLA-GUS #2"
"gMpDELLA-GUS_L2_34-YFP_itcn.csv"	4603	2450	879	0.00855380129486802	0.244483792688531	793	0.902161547212742	"gMpDELLA-GUS #2"
"MpEF-MpDELLA_L1_25-YFP_itcn.csv"	3265	2449	418	0.00664762355579747	0.127187164551256	364	0.870813397129187	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_26-YFP_itcn.csv"	3266	2447	474	0.00912006656201006	0.131285481679161	407	0.858649789029536	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_27-YFP_itcn.csv"	3259	2445	525	0.00696583046444873	0.166730272595751	461	0.878095238095238	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_28-YFP_itcn.csv"	3261	2448	201	0.0041195229258634	0.0681250258257445	146	0.72636815920398	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_29-YFP_itcn.csv"	3259	2445	254	0.00497393987709954	0.0853360543418929	195	0.767716535433071	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_30-YFP_itcn.csv"	4605	2449	664	0.00787979815196644	0.175859035044432	608	0.91566265060241	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_31-YFP_itcn.csv"	3264	2448	649	0.00720320355313914	0.175882388360042	579	0.892141756548536	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_32-YFP_itcn.csv"	3300	3464	599	0.00877420102370381	0.193482162127176	537	0.896494156928214	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_33-YFP_itcn.csv"	3262	2446	626	0.00764521862992535	0.170060684270935	579	0.924920127795527	"MpEF:MpDELLA #1"
"MpEF-MpDELLA_L1_34-YFP_itcn.csv"	3261	2448	460	0.00693059540672367	0.132139819324864	404	0.878260869565217	"MpEF:MpDELLA #1"
